,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.48,6.8,0
1,बाघ,बिल्ली,5.46,7.0,0
2,किताब,कागज़,5.77,7.6,0
3,कंप्यूटर,कीबोर्ड,5.56,7.6,0
4,कंप्यूटर,इंटरनेट,6.98,8.0,0
5,विमान,कार,6.01,6.0,0
6,रेलगाड़ी,कार,5.69,6.2,0
7,टेलीफोन,संचार,5.60,7.6,0
8,टेलीविजन,रेडियो,6.65,6.4,0
9,मीडिया,रेडियो,5.23,5.8,0
10,ब्रेड,मक्खन,6.22,6.6,0
11,खीरा,आलू,5.70,5.8,0
12,चिकित्सक,नर्स,6.95,7.6,0
13,प्रोफ़ेसर,चिकित्सक,4.23,4.6,0
14,छात्र,प्रोफ़ेसर,4.83,7.0,0
15,होशियार,छात्र,3.90,5.2,0
16,होशियार,बेवकूफ,5.70,6.2,0
17,किताब,पुस्तकालय,4.46,7.6,0
18,बैंक,पैसे,5.73,8.0,0
19,लकड़ी,जंगल,5.66,7.0,0
20,प्रोफ़ेसर,खीरा,-0.92,0.0,0
21,राजा,रानी,6.56,8.2,0
22,बिशप,रबी,0.75,7.0,0
23,यरूशलेम,इजराइल,4.48,7.8,0
24,पवित्र,सेक्स,3.08,1.0,0
25,माराडोना,फ़ुटबॉल,4.16,7.8,0
26,फ़ुटबॉल,सॉकर,6.62,9.0,0
27,फ़ुटबॉल,बास्केटबाल,4.65,6.4,0
28,फ़ुटबॉल,टेनिस,5.50,5.8,0
29,टेनिस,रैकेट,4.36,7.4,0
30,कानून,वकील,5.81,7.8,0
31,चलचित्र,पॉपकॉर्न,2.83,6.6,0
32,चलचित्र,आलोचक,2.41,6.6,0
33,चलचित्र,थिएटर,3.29,8.4,0
34,पीना,कार,2.47,1.4,0
35,पीना,कान,2.94,0.4,0
36,पीना,मुंह,4.83,7.0,0
37,बच्चा,मां,6.59,7.2,0
38,पीना,मां,3.18,1.8,0
39,मणि,गहना,2.95,6.8,0
40,भट्ठी,स्टोव,4.85,8.4,0
41,भोजन,फल,6.67,6.6,0
42,पक्षी,सारस,6.90,7.4,0
43,भाई,साधु,3.98,1.4,0
44,यात्रा,कार,5.05,6.2,0
45,साधु,गुलाम,2.05,0.2,0
46,कांच,जादूगर,2.23,2.0,0
47,पैसे,मुद्रा,4.96,8.6,0
48,पैसे,धन,7.05,9.2,1
49,पैसे,संपत्ति,6.02,8.4,0
50,पैसे,बैंक,5.73,8.2,0
51,पैसे,जमा,6.30,6.6,0
52,पैसे,ऑपरेशन,3.44,2.6,0
53,बाघ,जैगुआर,2.80,8.0,0
54,बाघ,जानवर,7.21,7.6,1
55,बाघ,चिड़ियाघर,5.45,6.8,0
56,मनोविज्ञान,चिंता,3.23,6.2,0
57,मनोविज्ञान,डर,2.50,5.2,0
58,मनोविज्ञान,डिप्रेशन,3.33,7.0,0
59,मनोविज्ञान,क्लिनिक,3.33,6.4,0
60,मनोविज्ञान,चिकित्सक,4.88,7.0,0
61,मनोविज्ञान,मन,3.66,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.16,6.2,0
63,मनोविज्ञान,विज्ञान,7.45,7.0,1
64,मनोविज्ञान,अनुशासन,5.04,4.2,0

Accuracy = 0.55
